"","cik","Score","year","distance","cik_str","sic","Revenue","Total.Assets","MV","TobinsQ_1","TobinsQ_2","TobinsQ.before","RevenueGrowth","RevenueGrowthAbs","TobinsQGrowth","AssetGrowth","MVGrowth","FirmSize","NormalizedDistance","Industry"
"83",40545,0.841280877590179,2017,0.158719122409821,40545,"3600",120467000,371738000,205366.4,0.767,0.898,0.821,0.65,779000,-13.09,2.31,-23.89,"Micro_Nano_Cap",52.8527456143109,32
"84",40888,0.902048945426941,2017,0.0979510545730591,40888,"",1877200,2112900,2545.14,1.313,1.492,0.924,6.58,115900,83.78,7.97,102.59,"Micro_Nano_Cap",-5.66928924511934,271
"85",40987,0.845714032649994,2017,0.154285967350006,40987,"5013",16308801,12372223,12601.03,1.597,1.403,1.794,6.32,969088,-21.85,41.77,-12.75,"Micro_Nano_Cap",48.5834432622164,90
"86",41719,0.924842953681946,2017,0.0751570463180542,41719,"2621",1596423,1730795,765.33,0.726,0.754,0.817,-0.9,-14515,-22.17,13.77,-22.06,"Micro_Nano_Cap",-27.6208140042884,81
"87",42316,0.937110245227814,2017,0.0628897547721863,42316,"",113954,93632,150.16,1.709,1.841,0.849,-12.63,-16469,201.58,2.55,122.62,"Micro_Nano_Cap",-39.4346973320677,52
"88",42582,0.882993936538696,2017,0.117006063461304,42582,"3011",15377000,15056000,7943.14,0.902,0.921,0.913,1.44,219000,-2.4,6.8,0.02,"Micro_Nano_Cap",12.6814323443863,234
"89",42682,0.90976482629776,2017,0.09023517370224,42682,"3561",379389,395015,790.54,1.952,2.159,1.561,-0.7,-2682,49.85,3.19,18.45,"Micro_Nano_Cap",-13.0999854210495,147
"90",42888,0.890878975391388,2017,0.109121024608612,42888,"3561",1474744,1328289,6528.57,5.376,5.463,3.242,10.94,145451,130.99,14.86,63.47,"Micro_Nano_Cap",5.08783039138776,117
"91",43196,0.887958943843842,2017,0.112041056156158,43196,"4833",882728,3260857,907.55,0.941,0.899,0.837,8.65,70263,24.73,17.16,28.08,"Micro_Nano_Cap",7.89993540145966,132
"92",45012,0.884106397628784,2017,0.115893602371216,45012,"1389",20620000,23855000,35412.92,2.085,2.093,1.928,29.79,4733000,16.2,-4.73,-1.97,"Micro_Nano_Cap",11.6100886434682,23
"93",45876,0.87121057510376,2017,0.12878942489624,45876,"8900",1607062,1527111,1391.26,1.459,1.514,0.848,10.74,155839,143.38,-3.43,85.39,"Micro_Nano_Cap",24.0292719780081,59
"94",46080,0.871590137481689,2017,0.128409862518311,46080,"3944",5209782,5192113,11982.76,2.309,2.684,2.204,3.78,189960,9.48,6.42,19.54,"Micro_Nano_Cap",23.6637385078277,13
"95",46129,0.913352131843567,2017,0.0866478681564331,46129,"3825",252012,187908,231.11,1.477,1.656,1.295,2.49,6119,27.97,4.98,9.8,"Micro_Nano_Cap",-16.5547014861888,117
"96",47111,0.929685473442078,2017,0.0703145265579224,47111,"2060",7515426,5550703,16647.84,4.595,4.588,4.037,1.01,75245,27.51,1.52,13.45,"Micro_Nano_Cap",-32.284350632953,33
